OBJECTID,WPITEM,WPITMSEG,ITMSEG,FINPROJ,RDWYLOC,BEGSECPT,ENDSECPT,RDWYSIDE,RDWYID,ITSEGMAN,WPWKMIX,WPITSTAT,MANDISDV,CONTYDOT,WPPHAZGP,WPPHAZTP,FINPRJSQ,FISCALYR,PRPLCCDE,PRPLCODE,CONTYNAM,WPWKMIXN,WPITSTNM,LOCALFULL,LOC_ERROR,Shape__Length,WPPHAZTP_DESC,Normalized_Length,PHASE_WEIGHT,risk_proxy
36433,251688,1,2516881,25168815202,14,0.0,0.072,C,87060000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2025,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,115.92256956018275,Active Construction,0.00967447575172105,1.0,0.00967447575172105
36443,251688,1,2516881,25168815201,10,12.27999973,12.45499992,R,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,01,2023,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,279.35460800237564,Active Construction,0.023313918864155493,1.0,0.023313918864155493
36449,251688,1,2516881,25168815202,5,0.0,0.102,C,87200123,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2025,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,170.85857422988244,Active Construction,0.014259234760168672,1.0,0.014259234760168672
36455,251688,1,2516881,25168815201,13,11.68400002,13.04800034,L,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,01,2023,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,2177.7983865405636,Active Construction,0.18175112717619346,1.0,0.18175112717619346
36472,251688,1,2516881,25168815202,14,0.0,0.072,C,87060000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2025,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,115.92256956018275,Active Construction,0.00967447575172105,1.0,0.00967447575172105
36474,251688,1,2516881,25168815202,14,0.0,0.072,C,87060000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2023,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,115.92256956018275,Active Construction,0.00967447575172105,1.0,0.00967447575172105
36488,251688,1,2516881,25168815201,14,0.0,0.072,C,87060000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,01,2026,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,115.92256956018275,Active Construction,0.00967447575172105,1.0,0.00967447575172105
36489,251156,3,2511563,25115635201,2,0.0,0.49599999,C,87059000,"RICARDO, JORGE      ",0002,096,06,87,5,2,01,2024,A,03,MIAMI-DADE          ,NEW ROAD CONSTRUCTIO,CONST.COMPLETE      ,PORT OF MIAMI TUNNEL FROM PORT OF MIAMI TO SR 836/I-395,NO ERROR,797.8835746051055,Active Construction,0.06658845921463231,1.0,0.06658845921463231
36508,251688,1,2516881,25168815602,12,12.65499973,13.04800034,R,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,6,02,2025,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,627.4630437466387,Active Construction,0.05236578195996961,1.0,0.05236578195996961
36516,251688,1,2516881,25168815202,22,0.0,0.121,C,87200125,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2023,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,204.19389825062984,Active Construction,0.017041279577999023,1.0,0.017041279577999023
